GID,GEOM_O,IDENT,ADRESSE,CAMPGPS,CODEPOST,NATURE,IDMOUVT,IDSAE,LIGNEDES,LONGARR,DATECREA,DATEDEPL,DATEGEAR,DATEGEMO,DATEGEVO,MOBILIE1,MOBILIE2,MOBILIE3,MOBILIE4,NOMARRET,REFMOB1,REFMOB2,REFMOB3,REFMOB4,VILLE,ARSCOL,PRESCORB,CONFORT,NIVACPMR,PHOTO,ARTRAN,NIVSERV,RESEAU,CDATE,MDATE
165,360,3302,avenue de la Boétie (devant le Cimetière),20070926000000,33320,Sur chaussée classique,14,,Corol 37/Lianes 5 Nord/Spécifique 79/Spécifique 85,,20010101000000,,19990902000000,20061111000000,19990225000000,Abribus V1 non éclairé,,,,Taillan Cimetière,25.24,,,,LE TAILLAN-MEDOC,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
2352,360,3305,120 avenue Alexis Capelle,19990819000000,33130,Sur chaussée classique,8,,Corol 36,,20010101000000,19980831000000,20080325000000,19980831000000,19980831000000,Poteau,,,,Capelle,,,,,BEGLES,,,,,,,,BUS,20170830151000,20170830175128
2575,360,3307,159 avenue de la Libération,20100723000000,33700,Sur chaussée classique,4,,Corol 35/Lianes 2,,20010101000000,20100222000000,19991014000000,19980831000000,19980831000000,Poteau,,,,Libération,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175132
1728,360,2966,avenue Charles de Gaulle (devant la résidence Dulamon),20070926000000,33290,Sur chaussée norme access,4,,29/Spécifique 78,,20010101000000,,19990902000000,20061005000000,20110101000000,Abribus V1 éclairé,,,,Montesquieu,6.2005,,,,BLANQUEFORT,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180656
3739,360,2967,face au 14 avenue du Général de Gaulle,19970730000000,33290,Sur chaussée classique,4,,22/Corol 37/Flexo 57/Spécifique 78,,20010101000000,,20161219000000,,,Poteau,,,,Lycée St Michel,,,,,BLANQUEFORT,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180724
1073,360,296,125 rue Jean Monnet,20121016000000,33700,Sur chaussée norme access,8,,30,,20010101000000,20120416000000,20000605000000,20120416000000,20120416000000,Abribus V2,,,,Pagneau,18-37,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175120
2378,360,2973,9 avenue Charles de Gaulle,19970722000000,33200,Sur chaussée classique,4,,83/Lianes 2/Lianes 3,40,20010101000000,,19990827000000,,,Poteau,,,,Barrière St Médard,,,,,BORDEAUX,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180708
1667,360,2977,face au 189 avenue du Maréchal de Lattre de Tassigny,20141020000000,33200,Sur chaussée norme access,4,,Lianes 3,,20010101000000,20140219000000,19990827000000,20140129000000,20140219000000,Abribus V1,,,,St Amand,7.145,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175124
1871,360,2978,face au 335 avenue Maréchal de Lattre de Tassigny,20051013000000,33200,Hors chaussée intégral,4,,Lianes 3,,20010101000000,,19990827000000,20050913000000,,Abribus V1 éclairé,,,,Pins-Francs,7.143,,,,BORDEAUX,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180700
2798,360,2979,face au 498 avenue Maréchal de Lattre de Tassigny (devant le Centre Commercial),20110929000000,33200,Sur chaussée norme access,4,,83/Lianes 3,,20010101000000,,19990827000000,20050919000000,20110905000000,Abribus V1 éclairé,,,,Parc d'échange du Caillou,7.140,,,,BORDEAUX,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180712
3544,360,2981,14 rue Jean- Jaures,20070927000000,33320,Sur chaussée classique,4,,,,20010101000000,,19990830000000,20061011000000,,Abribus V1 non éclairé,,,,Rue Jean Jaurès,13.43,,,,EYSINES,,,,,,,,,20170830151000,20170830171744
2577,360,2983,face au 172 Avenue de l'hippodrome,20141020000000,33320,Sur chaussée norme access,4,,Corol 35/Lianes 2,,20010101000000,20090101000000,19990830000000,20051208000000,20090101000000,Abribus V1 non éclairé,,,,8 Mai 1945,13.38,,,,EYSINES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180708
2985,360,2986,face au 19 rue Jean Lahary,20121025000000,33320,Sur chaussée norme access,4,,,,20010101000000,20110829000000,20130902000000,20050713000000,20110829000000,Abribus V1 non éclairé,,,,Le Plateau,13.16,,,,EYSINES,,,,,,,,,20170830151000,20170830171744
246,360,2987,99 avenue de Saint Médard,20131015000000,33320,Sur chaussée norme access,4,,Lianes 3,,20010101000000,20051207000000,19990827000000,20051207000000,20131009000000,Abribus V1 non éclairé,,,,Coubertin,13.36,,,,EYSINES,,,,,,,,BUS,20170830151000,20170830175112
2757,360,2988,64 avenue de Saint Médard,20060727000000,33700,Sur chaussée classique,4,,Lianes 3,,20010101000000,20060120000000,19990827000000,20060120000000,,Abribus V2 non éclairé,,,,Coubertin,18.103,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175132
2799,360,2990,209avenue de Saint Médard,20051006000000,33320,Hors chaussée intégral,4,,Citéis 72/Lianes 3,30,20010101000000,,19990827000000,20050919000000,,Abribus V1 éclairé,,,,Tilleuls,13.13,,,,EYSINES,,,,,,,,BUS,20170830151000,20170830175132
1730,360,2991,face au 200 avenue de Saint Medard,20110928000000,33320,Sur chaussée classique,4,,Citéis 72/Lianes 3,,20010101000000,,19990827000000,20100222000000,,Poteau,,,,Guynemer,,,,,EYSINES,PUBLIC,,,,,,,BUS,20170830151000,20170830180656
1927,360,2993,avenue Gay Lussac (devant l'entrée d'Herakles),20070924000000,33160,Sur chaussée classique,8,,71/Flexo 55 Résa,,20010101000000,20021014000000,20120903000000,20061019000000,,Abribus V1,,,,La Poudrerie,23.53,,,,SAINT-MEDARD-EN-JALLES,,,,,,,,BUS,20170830151000,20170830175124
1870,360,2995,rue Edmond Rostand (coté pair),20060725000000,33185,Sur chaussée classique,8,,30,,20010101000000,20050908000000,19990830000000,20050908000000,20090101000000,Abribus V1 non éclairé,,,,Résidence Rostand,16.18,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175124
564,360,2997,face 14 rue du Maréchal Foch,20060718000000,33150,Sur chaussée classique,6,,27,,20010101000000,20050617000000,19991012000000,20050617000000,,Abribus V1 éclairé,,,,Maréchal Foch,12.15,,,,CENON,,,,,,,,BUS,20170830151000,20170830175116
1003,360,2998,Face au 75 avenue Pasteur,20050928000000,33185,Sur chaussée classique,4,,30/Lianes 3,25,20010101000000,,19990827000000,20050718000000,,Abribus V2 éclairé,,,,Collège Emile Zola,16.02,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175120
1421,360,299,313 avenue d'Arès,20141016000000,33200,Sur chaussée norme access,6,,Lianes 1,,20010101000000,20131029000000,20050829000000,20131029000000,20131029000000,Abribus V1- Ev2,,,,Place Mondésir,7-430,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175120
3254,360,2,87 avenue du Maréchal Leclerc,20070919000000,33140,Sur chaussée classique,14,,Lianes 5 Sud,,20010101000000,,19990818000000,20061019000000,20060818000000,Abribus V1 éclairé,,,,Brignon,27.59,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175136
3644,360,3000,28 rue Georges Clemenceau,20060726000000,33185,Sur chaussée classique,8,,30/Citéis 72,,20010101000000,20060512000000,19990830000000,20060512000000,20001201000000,Abribus V2 non éclairé,,,,Clemenceau,16.15,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175140
1410,360,3001,rue de Paris (en face du square),20060726000000,33185,Voie protégée,8,,30,,20010101000000,20051128000000,20140106000000,20051128000000,,Abribus V2 non éclairé,,,,La Sablière,16-17,,,,LE HAILLAN,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180652
